cit_id,cites_pub_id,level,citing_year,is_self,citing_authors_raw,citing_doi_url,abs,abs_yr,abdc,abdc_yr,fnege,econlit,scopus,scopus_q,wos,wos_if,wos_if_yr,publisher,forthcoming,norm_title,raw_tag,raw_ref,source_found,link_confirmed,confirm_method,first_seen_run,last_seen_run,verified,flag_red
abs-06#0,abs-06,2,2025,0,"Bado, B., Tahir, T., Thamrin Tahir, M. I., & Hasan, M.",https://doi.org/10.1080/23311975.2025.2457441,1,2021,B,,,,1,,1,3.0,2023,,,bado b tahir t thamrin tahir m i hasan m positive psychological capital entrepreneurial,"ABS 2021: 1, ABDC: B, Scopus, WoS (Impact Factor 2023: 3.0)","Bado, B., Tahir, T., Thamrin Tahir, M. I., & Hasan, M. (2025). Positive psychological capital, entrepreneurial knowledge transfer, and entrepreneurial mindset growth: A synthesis of MSMEs’ challenges. Cogent Business & Management, 12(1), 2457441. https://doi.org/10.1080/23311975.2025.2457441",docx-import,1,manual-import,import-docx,import-docx,1,
abs-06#1,abs-06,2,2025,0,"Yang, B., & Park, S.-D.",https://doi.org/10.1177/21582440251393200,,,,,,,1,,1,2.032,2022,,,yang b park s d evolving innovation ecosystems longitudinal insights into the triple helix,"Scopus, WoS (Impact Factor 2022: 2.032)","Yang, B., & Park, S.-D. (2025). Evolving Innovation Ecosystems: Longitudinal Insights into the Triple Helix Model and Enterprise Innovation in China. Sage Open, 15(4), 21582440251393200. https://doi.org/10.1177/21582440251393200",docx-import,1,manual-import,import-docx,import-docx,1,
abs-06#2,abs-06,2,2024,0,"Siddiqui, A. H., Shaikh, E. A., & Khan, U.",,,,,,,,,,,,,,,siddiqui a h shaikh e a khan u the impact of public and private,,"Siddiqui, A. H., Shaikh, E. A., & Khan, U. (2024). THE IMPACT OF PUBLIC AND PRIVATE INVESTMENT ON THE GROWTH OF SMALL AND MEDIUM-SIZED ENTERPRISES. Priority-The International Business Review, 2(2), Article 2.",docx-import,1,manual-import,import-docx,import-docx,1,
abs-05#3,abs-05,2,2025,0,"Hikmah, N., & Aimah, S.",https://doi.org/10.30863/ajmpi.v15i1.7586,,,,,,,,,,,,,,hikmah n aimah s bangkitnya akreditasi berbasis hasil era baru penjaminan mutu adaara jurnal,,"Hikmah, N., & Aimah, S. (2025). Bangkitnya Akreditasi Berbasis Hasil: Era Baru Penjaminan Mutu. Adaara: Jurnal Manajemen Pendidikan Islam, 15(1), 23–41. https://doi.org/10.30863/ajmpi.v15i1.7586",docx-import,1,manual-import,import-docx,import-docx,1,
abs-05#4,abs-05,2,2025,0,"Bhatnagr, P.",https://doi.org/10.4018/979-8-3373-8236-4.ch005,,,,,,,,,,,,,,bhatnagr p reconfiguring global trade the economic impact of the russia ukraine conflict and,,"Bhatnagr, P. (2025). Reconfiguring Global Trade: The Economic Impact of the Russia-Ukraine Conflict and Strategic Responses. In E. İsmayil (Ed.), Energy and Power Rivalries Across Eurasia (pp. 103–132). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3373-8236-4.ch005",docx-import,1,manual-import,import-docx,import-docx,1,
abs-05#5,abs-05,2,2025,0,"Htwe, T., Zaw, S. T., & Reza, A.",https://doi.org/10.70177/solj.v3i2.2088,,,,,,,,,,,,,,htwe t zaw s t reza a the compatibility of shariah law and modern,,"Htwe, T., Zaw, S. T., & Reza, A. (2025). The Compatibility of Shariah Law and Modern Capitalism: A Case Study of Indonesia’s Islamic Banking Sector. Sharia Oikonomia Law Journal, 3(2), 179–190. https://doi.org/10.70177/solj.v3i2.2088",docx-import,1,manual-import,import-docx,import-docx,1,
abs-05#6,abs-05,2,2025,0,"Ojeaburu, F., & Ogbonna, G. N.",https://doi.org/10.65453/ijar.v10i1.1270,,,,,,,,,,,,,,ojeaburu f ogbonna g n ict usage and economic growth of nigeria international journal,,"Ojeaburu, F., & Ogbonna, G. N. (2025). ICT Usage and Economic Growth of Nigeria. International Journal of Accounting Research, 10(1), 01–09. https://doi.org/10.65453/ijar.v10i1.1270",docx-import,1,manual-import,import-docx,import-docx,1,
abs-05#7,abs-05,2,2025,0,"Akhyar, M. N., Redjo, S. I., & Kartini, D. S.",https://doi.org/10.24815/gaspol.v6i1.45276,,,,,,,,,,,,,,akhyar m n redjo s i kartini d s the effectiveness of digital population,,"Akhyar, M. N., Redjo, S. I., & Kartini, D. S. (2025). The Effectiveness of Digital Population Identity on the Public in the City of Bandung in 2023-2024. Journal of Governance and Social Policy, 6(1), 195–209. https://doi.org/10.24815/gaspol.v6i1.45276",docx-import,1,manual-import,import-docx,import-docx,1,
abs-05#8,abs-05,2,2025,0,"Wekke, I. S., Ladiqi, S., Kaunert, C., & Arifin, A.",https://doi.org/10.4018/979-8-3373-1727-4.ch001,,,,,,,1,,,,,,,wekke i s ladiqi s kaunert c arifin a remaking the world technology power,Scopus,"Wekke, I. S., Ladiqi, S., Kaunert, C., & Arifin, A. (2025). Remaking the World: Technology, Power, and International Political Economy. In K. Wongmahesak, T. Sriyakul, U. K. Ghosh, & I. S. Wekke (Eds), Technology, Geopolitics, and the Transformation of International Political Economy (pp. 1–20). IGI Global Scientific Publishing. https://doi.org/10.4018/979-8-3373-1727-4.ch001",docx-import,1,manual-import,import-docx,import-docx,1,
abs-05#9,abs-05,2,2025,0,"Pradeva, J. A., & Probohudono, A. N.",,,,,,,,,,,,,,,pradeva j a probohudono a n digital transformation how they can impact in the,,"Pradeva, J. A., & Probohudono, A. N. (2025). Digital Transformation: How they can Impact in the State-own Enterprise in Indonesian. Journal of International Business, Management and Finance Studies, 3(1), 126–134.",docx-import,1,manual-import,import-docx,import-docx,1,
